user_id,signup_date,plan,company_size,country
1,2025-10-16,Free,1000+,Brazil
2,2024-04-24,Starter,1000+,Canada
3,2024-01-26,Free,51-200,Brazil
4,2024-10-08,Free,1000+,Germany
5,2024-09-07,Free,51-200,Australia
6,2024-08-16,Free,201-1000,Australia
7,2024-05-22,Free,201-1000,Canada
8,2024-04-14,Starter,11-50,Australia
9,2025-11-23,Free,1-10,USA
10,2025-07-12,Starter,11-50,Germany
11,2024-03-30,Enterprise,51-200,Germany
12,2025-08-27,Starter,1-10,UK
13,2025-03-08,Pro,1000+,USA
14,2024-02-02,Free,201-1000,USA
15,2024-01-31,Enterprise,11-50,India
16,2024-04-05,Free,1000+,India
17,2024-08-11,Starter,201-1000,Brazil
18,2024-08-26,Starter,51-200,Australia
19,2025-06-01,Free,11-50,Germany
20,2025-09-08,Free,11-50,Germany
21,2024-01-28,Free,11-50,India
22,2025-07-28,Free,11-50,Australia
23,2024-07-22,Pro,201-1000,USA
24,2025-10-27,Enterprise,1000+,Canada
25,2025-12-19,Free,1000+,India
26,2025-07-12,Enterprise,201-1000,Germany
27,2025-03-05,Free,1000+,Brazil
28,2024-08-13,Free,1-10,Brazil
29,2025-04-04,Free,1-10,Germany
30,2025-08-26,Free,51-200,UK
31,2024-10-11,Starter,51-200,UK
32,2024-01-07,Starter,1000+,India
33,2024-06-12,Free,1-10,Germany
34,2025-12-15,Pro,201-1000,India
35,2025-03-08,Free,1000+,UK
36,2024-12-14,Starter,51-200,UK
37,2024-10-11,Starter,1000+,Brazil
38,2024-06-08,Starter,1-10,Canada
39,2024-08-08,Starter,51-200,USA
40,2024-12-10,Starter,11-50,India
41,2024-04-14,Free,51-200,Brazil
42,2024-04-04,Pro,1-10,Germany
43,2025-01-24,Starter,201-1000,Australia
44,2024-04-09,Free,1000+,Brazil
45,2025-01-02,Starter,201-1000,Canada
46,2024-12-18,Free,51-200,UK
47,2025-09-10,Free,11-50,India
48,2024-09-27,Pro,1-10,Canada
49,2024-02-14,Pro,201-1000,Germany
50,2025-04-15,Free,51-200,India
51,2025-07-03,Free,1-10,Brazil
52,2024-05-07,Pro,1-10,USA
53,2025-01-22,Starter,1-10,Germany
54,2024-03-21,Free,51-200,Brazil
55,2025-07-19,Free,51-200,USA
56,2024-10-27,Starter,1-10,UK
57,2025-10-05,Free,51-200,Australia
58,2025-09-25,Free,1-10,Germany
59,2025-01-05,Free,1-10,India
60,2025-08-14,Enterprise,11-50,UK
61,2024-07-15,Free,1-10,USA
62,2025-12-22,Free,11-50,India
63,2024-03-12,Free,1000+,USA
64,2024-02-16,Starter,11-50,Canada
65,2025-11-08,Starter,201-1000,Brazil
66,2024-08-21,Starter,51-200,USA
67,2024-10-23,Starter,1000+,Germany
68,2024-03-22,Enterprise,51-200,Brazil
69,2024-08-26,Free,1-10,USA
70,2024-04-13,Free,1000+,UK
71,2025-01-24,Starter,51-200,Germany
72,2024-10-11,Free,51-200,Brazil
73,2025-04-09,Free,201-1000,USA
74,2025-10-12,Starter,11-50,USA
75,2025-01-08,Starter,1-10,USA
